param_name,pair,side,trades,win_rate,avg_return,total_return,best,worst
A_v703_stable,EURJPY=X,LONG,10,0.7,0.004827616517901194,0.04827616517901194,0.009938702157359404,-0.00607728333784408
A_v703_stable,GBPUSD=X,SHORT,5,0.6,0.0035105375275949367,0.017552687637974684,0.009913288004986528,-0.0060929220012450195
A_v703_stable,EURUSD=X,SHORT,4,0.75,0.003918592486942557,0.015674369947770227,0.009963389998421281,-0.006036423599027255
A_v703_stable,USDJPY=X,LONG,7,0.42857142857142855,0.0014021564274459368,0.009815094992121558,0.009958228324123077,-0.006055745501236171
B_v703_more_trades,GBPUSD=X,SHORT,73,0.4383561643835616,0.0008274644706251886,0.06040490635563877,0.009914306800383193,-0.0061004220020135225
B_v703_more_trades,EURUSD=X,SHORT,83,0.43373493975903615,0.0006172698445591374,0.051233397098408406,0.009967647598819162,-0.006041070399258692
B_v703_more_trades,EURJPY=X,LONG,10,0.7,0.004827616517901194,0.04827616517901194,0.009938702157359404,-0.00607728333784408
B_v703_more_trades,USDJPY=X,LONG,8,0.375,0.0010531262330190413,0.00842500986415233,0.009958228324123077,-0.006055745501236171
C_v701b_best_like,EURUSD=X,SHORT,83,0.4457831325301205,0.0006442884833806268,0.05347594412059202,0.009966802399053214,-0.006041070399258692
C_v701b_best_like,EURJPY=X,LONG,10,0.7,0.003839228565430457,0.03839228565430457,0.009938702157359404,-0.00607728333784408
C_v701b_best_like,GBPUSD=X,SHORT,73,0.4246575342465753,0.000512452486440595,0.037409031510163435,0.009914306800383193,-0.0061004220020135225
C_v701b_best_like,USDJPY=X,LONG,8,0.625,0.0017644604029192585,0.014115683223354068,0.009958228324123077,-0.006055745501236171
