year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
2018,1,0,1,0.0,-0.00559232,-0.00559232,-0.00559232,0.0,-0.00559232,-0.00559232,99832.23,-0.0016777,-0.0016777
2019,3,0,3,0.333333,-0.00019555,-0.00051243,-0.00058665,0.907755,0.00577309,-0.00584731,99982.1,-0.00017903,-0.00190765
2020,1,0,1,1.0,0.0370784,0.0370784,0.0370784,inf,0.0370784,0.0370784,101112.35,0.01112352,0.0
2021,7,6,1,0.428571,0.00286604,-0.00034424,0.0200623,1.889536,0.02027306,-0.01018966,100599.29,0.00599286,-0.0030569
2022,12,7,5,0.416667,0.00665147,-0.0015726,0.07981763,2.535972,0.0554557,-0.01151621,102395.76,0.02395764,-0.00451591
2023,7,4,3,0.571429,0.00201514,0.00511979,0.01410599,1.586673,0.01404716,-0.0118922,100421.2,0.00421198,-0.00356766
2024,6,5,1,0.666667,-0.00044058,0.00052134,-0.00264346,0.865098,0.01156231,-0.01112414,99919.16,-0.00080842,-0.00333724
2025,4,3,1,0.25,-0.00220723,-0.00153885,-0.00882892,0.257664,0.00306452,-0.00881574,99735.05,-0.0026495,-0.00265691
2026,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99987.28,-0.00012721,-0.00204493
