position_fraction,date,pair,side,net_return,pnl,equity,peak,drawdown
0.3,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-333.72405066151265,99666.27594933848,100000,-0.0033372405066152133
0.3,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-1.2175623808723393,99665.05838695761,100000,-0.0033494161304239434
0.3,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-263.5862997019925,99401.47208725562,100000,-0.005985279127443843
0.3,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,91.3852334587727,99492.85732071439,100000,-0.005071426792856104
0.3,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-90.6473493909674,99402.20997132342,100000,-0.005977900286765814
0.3,2026-03-31,USDJPY=X,LONG,0.006405519399798633,191.01683530625075,99593.22680662967,100000,-0.004067731933703356
0.3,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-203.66133740188198,99389.56546922779,100000,-0.006104345307722081
0.5,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-556.206751102521,99443.79324889748,100000,-0.0055620675110252815
0.5,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-2.0247407413357843,99441.76850815614,100000,-0.005582314918438636
0.5,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-438.3262670172528,99003.44224113888,100000,-0.009965577588611163
0.5,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,151.69883792878926,99155.14107906767,100000,-0.008448589209323232
0.5,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-150.56609689296062,99004.57498217472,100000,-0.0099542501782528
0.5,2026-03-31,USDJPY=X,LONG,0.006405519399798633,317.0878628585693,99321.66284503328,100000,-0.006783371549667239
0.5,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-338.5100127888711,98983.1528322444,100000,-0.010168471677555968
0.7,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-778.6894515435295,99221.31054845647,100000,-0.007786894515435239
0.7,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-2.828295187038071,99218.48225326944,100000,-0.007815177467305645
0.7,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-612.2788707068958,98606.20338256254,100000,-0.013937966174374594
0.7,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,211.52623159282905,98817.72961415537,100000,-0.011822703858446304
0.7,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-210.0752373086541,98607.65437684671,100000,-0.013923456231532905
0.7,2026-03-31,USDJPY=X,LONG,0.006405519399798633,442.1432701556711,99049.79764700239,100000,-0.009502023529976089
0.7,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-472.6168111859997,98577.18083581638,100000,-0.014228191641836196
1.0,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-1112.413502205042,98887.58649779495,100000,-0.011124135022050452
1.0,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-4.026832015414329,98883.55966577954,100000,-0.011164403342204587
1.0,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-871.731511374397,98011.82815440514,100000,-0.01988171845594855
1.0,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,300.3588581917253,98312.18701259687,100000,-0.016878129874031256
1.0,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-298.5721590309437,98013.61485356593,100000,-0.019863851464340665
1.0,2026-03-31,USDJPY=X,LONG,0.006405519399798633,627.828111388908,98641.44296495484,100000,-0.013585570350451603
1.0,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-672.3833484680595,97969.05961648677,100000,-0.020309403835132245
1.5,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-1668.6202533075632,98331.37974669243,100000,-0.016686202533075734
1.5,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-6.006273822235635,98325.3734728702,100000,-0.016746265271298078
1.5,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-1300.2160325790715,97025.15744029112,100000,-0.02974842559708879
1.5,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,446.0027843587634,97471.16022464988,100000,-0.025288397753501224
1.5,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-444.0269660738376,97027.13325857604,100000,-0.02972866741423963
1.5,2026-03-31,USDJPY=X,LONG,0.006405519399798633,932.263776591984,97959.39703516802,100000,-0.020406029648319834
1.5,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-1001.6013363037363,96957.79569886428,100000,-0.030422043011357203
2.0,2024-11-18,USDJPY=X,LONG,-0.01112413502205042,-2224.827004410084,97775.17299558992,100000,-0.022248270044100793
2.0,2025-08-04,USDJPY=X,LONG,-4.072130949928808e-05,-7.963066161799703,97767.20992942812,100000,-0.022327900705718773
2.0,2025-10-15,USDJPY=X,LONG,-0.008815737563663736,-1723.7801301389154,96043.42979928921,100000,-0.03956570200710785
2.0,2025-11-06,GBPUSD=X,SHORT,0.0030645164348791477,588.6533381641669,96632.08313745337,100000,-0.03367916862546627
2.0,2025-11-21,USDJPY=X,LONG,-0.0030369801354605936,-586.939433873245,96045.14370358014,100000,-0.03954856296419862
2.0,2026-03-31,USDJPY=X,LONG,0.006405519399798633,1230.43806249946,97275.5817660796,100000,-0.027244182339204004
2.0,2026-04-08,GBPUSD=X,SHORT,-0.006816438692071269,-1326.146078688095,95949.43568739151,100000,-0.040505643126084956
